Date,Time,Global_active_power,Consumption
1/1/2007,0:00:00,2.58,0.0086
1/1/2007,0:01:00,2.552,0.008506667
1/1/2007,0:02:00,2.55,0.0085
1/1/2007,0:03:00,2.55,0.0085
1/1/2007,0:04:00,2.554,0.008513333
1/1/2007,0:05:00,2.55,0.0085
1/1/2007,0:06:00,2.534,0.008446667
1/1/2007,0:07:00,2.484,0.00828
1/1/2007,0:08:00,2.468,0.008226667
1/1/2007,0:09:00,2.486,0.008286667
1/1/2007,0:10:00,2.492,0.008306667
1/1/2007,0:11:00,2.5,0.008333333
1/1/2007,0:12:00,2.494,0.008313333
1/1/2007,0:13:00,2.492,0.008306667
1/1/2007,0:14:00,2.48,0.008266667
1/1/2007,0:15:00,2.478,0.00826
1/1/2007,0:16:00,2.47,0.008233333
1/1/2007,0:17:00,2.466,0.00822
1/1/2007,0:18:00,2.456,0.008186667
1/1/2007,0:19:00,2.46,0.0082
1/1/2007,0:20:00,2.544,0.00848
1/1/2007,0:21:00,2.55,0.0085
1/1/2007,0:22:00,2.554,0.008513333
1/1/2007,0:23:00,2.65,0.008833333
1/1/2007,0:24:00,2.682,0.00894
1/1/2007,0:25:00,2.66,0.008866667
1/1/2007,0:26:00,2.65,0.008833333
1/1/2007,0:27:00,2.654,0.008846667
1/1/2007,0:28:00,2.642,0.008806667
1/1/2007,0:29:00,2.644,0.008813333
1/1/2007,0:30:00,2.648,0.008826667
1/1/2007,0:31:00,2.646,0.00882
1/1/2007,0:32:00,2.644,0.008813333
1/1/2007,0:33:00,2.656,0.008853333
1/1/2007,0:34:00,2.65,0.008833333
1/1/2007,0:35:00,2.642,0.008806667
1/1/2007,0:36:00,2.63,0.008766667
1/1/2007,0:37:00,2.606,0.008686667
1/1/2007,0:38:00,2.556,0.00852
1/1/2007,0:39:00,2.602,0.008673333
1/1/2007,0:40:00,2.602,0.008673333
1/1/2007,0:41:00,2.594,0.008646667
1/1/2007,0:42:00,2.6,0.008666667
1/1/2007,0:43:00,2.602,0.008673333
1/1/2007,0:44:00,2.6,0.008666667
1/1/2007,0:45:00,2.598,0.00866
1/1/2007,0:46:00,2.59,0.008633333
1/1/2007,0:47:00,2.554,0.008513333
1/1/2007,0:48:00,2.484,0.00828
1/1/2007,0:49:00,2.472,0.00824
1/1/2007,0:50:00,2.486,0.008286667
1/1/2007,0:51:00,2.486,0.008286667
1/1/2007,0:52:00,2.482,0.008273333
1/1/2007,0:53:00,2.484,0.00828
1/1/2007,0:54:00,2.48,0.008266667
1/1/2007,0:55:00,2.458,0.008193333
1/1/2007,0:56:00,2.46,0.0082
1/1/2007,0:57:00,2.462,0.008206667
1/1/2007,0:58:00,2.472,0.00824
1/1/2007,0:59:00,2.466,0.00822
1/1/2007,1:00:00,2.466,0.00822
1/1/2007,1:01:00,2.59,0.008633333
1/1/2007,1:02:00,2.59,0.008633333
1/1/2007,1:03:00,2.576,0.008586667
1/1/2007,1:04:00,2.566,0.008553333
1/1/2007,1:05:00,2.564,0.008546667
1/1/2007,1:06:00,2.56,0.008533333
1/1/2007,1:07:00,2.552,0.008506667
1/1/2007,1:08:00,2.564,0.008546667
1/1/2007,1:09:00,2.558,0.008526667
1/1/2007,1:10:00,2.56,0.008533333
1/1/2007,1:11:00,2.576,0.008586667
1/1/2007,1:12:00,2.57,0.008566667
1/1/2007,1:13:00,2.56,0.008533333
1/1/2007,1:14:00,2.566,0.008553333
1/1/2007,1:15:00,2.502,0.00834
1/1/2007,1:16:00,2.482,0.008273333
1/1/2007,1:17:00,2.478,0.00826
1/1/2007,1:18:00,2.482,0.008273333
1/1/2007,1:19:00,2.58,0.0086
1/1/2007,1:20:00,2.564,0.008546667
1/1/2007,1:21:00,2.58,0.0086
1/1/2007,1:22:00,2.572,0.008573333
1/1/2007,1:23:00,2.566,0.008553333
1/1/2007,1:24:00,2.57,0.008566667
1/1/2007,1:25:00,2.57,0.008566667
1/1/2007,1:26:00,2.566,0.008553333
1/1/2007,1:27:00,2.504,0.008346667
1/1/2007,1:28:00,2.474,0.008246667
1/1/2007,1:29:00,2.456,0.008186667
1/1/2007,1:30:00,2.448,0.00816
1/1/2007,1:31:00,2.446,0.008153333
1/1/2007,1:32:00,2.452,0.008173333
1/1/2007,1:33:00,2.452,0.008173333
1/1/2007,1:34:00,2.452,0.008173333
1/1/2007,1:35:00,2.444,0.008146667
1/1/2007,1:36:00,2.444,0.008146667
1/1/2007,1:37:00,2.462,0.008206667
1/1/2007,1:38:00,2.51,0.008366667
1/1/2007,1:39:00,2.546,0.008486667
1/1/2007,1:40:00,2.548,0.008493333
1/1/2007,1:41:00,2.548,0.008493333
1/1/2007,1:42:00,2.552,0.008506667
1/1/2007,1:43:00,2.544,0.00848
1/1/2007,1:44:00,2.538,0.00846
1/1/2007,1:45:00,2.548,0.008493333
1/1/2007,1:46:00,2.554,0.008513333
1/1/2007,1:47:00,2.552,0.008506667
1/1/2007,1:48:00,2.55,0.0085
1/1/2007,1:49:00,2.548,0.008493333
1/1/2007,1:50:00,2.552,0.008506667
1/1/2007,1:51:00,2.548,0.008493333
1/1/2007,1:52:00,2.502,0.00834
1/1/2007,1:53:00,2.466,0.00822
1/1/2007,1:54:00,2.48,0.008266667
1/1/2007,1:55:00,2.474,0.008246667
1/1/2007,1:56:00,2.47,0.008233333
1/1/2007,1:57:00,2.464,0.008213333
1/1/2007,1:58:00,2.45,0.008166667
1/1/2007,1:59:00,2.496,0.00832
1/1/2007,2:00:00,2.504,0.008346667
1/1/2007,2:01:00,2.54,0.008466667
1/1/2007,2:02:00,2.568,0.00856
1/1/2007,2:03:00,2.566,0.008553333
1/1/2007,2:04:00,2.574,0.00858
1/1/2007,2:05:00,2.582,0.008606667
1/1/2007,2:06:00,2.576,0.008586667
1/1/2007,2:07:00,2.556,0.00852
1/1/2007,2:08:00,2.502,0.00834
1/1/2007,2:09:00,2.514,0.00838
1/1/2007,2:10:00,2.508,0.00836
1/1/2007,2:11:00,2.52,0.0084
1/1/2007,2:12:00,2.518,0.008393333
1/1/2007,2:13:00,2.518,0.008393333
1/1/2007,2:14:00,2.514,0.00838
1/1/2007,2:15:00,2.54,0.008466667
1/1/2007,2:16:00,2.608,0.008693333
1/1/2007,2:17:00,2.622,0.00874
1/1/2007,2:18:00,2.618,0.008726667
1/1/2007,2:19:00,2.618,0.008726667
1/1/2007,2:20:00,2.624,0.008746667
1/1/2007,2:21:00,2.632,0.008773333
1/1/2007,2:22:00,2.63,0.008766667
1/1/2007,2:23:00,2.622,0.00874
1/1/2007,2:24:00,2.614,0.008713333
1/1/2007,2:25:00,2.596,0.008653333
