Date,Time,
1/1/2007,0:00:00,0.008215437
1/1/2007,0:01:00,0.008053504
1/1/2007,0:02:00,0.008480111
1/1/2007,0:03:00,0.008154514
1/1/2007,0:04:00,0.00751597
1/1/2007,0:05:00,0.00771351
1/1/2007,0:06:00,0.007495044
1/1/2007,0:07:00,0.008183023
1/1/2007,0:08:00,0.007809927
1/1/2007,0:09:00,0.007613808
1/1/2007,0:10:00,0.007826906
1/1/2007,0:11:00,0.007891603
1/1/2007,0:12:00,0.007632971
1/1/2007,0:13:00,0.007539053
1/1/2007,0:14:00,0.008130227
1/1/2007,0:15:00,0.007992273
1/1/2007,0:16:00,0.008019753
1/1/2007,0:17:00,0.007381333
1/1/2007,0:18:00,0.007817432
1/1/2007,0:19:00,0.008071918
1/1/2007,0:20:00,0.008143574
1/1/2007,0:21:00,0.008112103
1/1/2007,0:22:00,0.008177685
1/1/2007,0:23:00,0.008356911
1/1/2007,0:24:00,0.008381801
1/1/2007,0:25:00,0.008051694
1/1/2007,0:26:00,0.008011017
1/1/2007,0:27:00,0.008801634
1/1/2007,0:28:00,0.008721362
1/1/2007,0:29:00,0.008125145
1/1/2007,0:30:00,0.008756883
1/1/2007,0:31:00,0.008290054
1/1/2007,0:32:00,0.008666179
1/1/2007,0:33:00,0.008588785
1/1/2007,0:34:00,0.008676842
1/1/2007,0:35:00,0.007882564
1/1/2007,0:36:00,0.008661263
1/1/2007,0:37:00,0.008384666
1/1/2007,0:38:00,0.008222907
1/1/2007,0:39:00,0.008237392
1/1/2007,0:40:00,0.008441928
1/1/2007,0:41:00,0.008528485
1/1/2007,0:42:00,0.008654943
1/1/2007,0:43:00,0.008382136
1/1/2007,0:44:00,0.007687241
1/1/2007,0:45:00,0.007768321
1/1/2007,0:46:00,0.008219467
1/1/2007,0:47:00,0.007802496
1/1/2007,0:48:00,0.007899057
1/1/2007,0:49:00,0.00763394
1/1/2007,0:50:00,0.007844551
1/1/2007,0:51:00,0.007475537
1/1/2007,0:52:00,0.007459693
1/1/2007,0:53:00,0.008136506
1/1/2007,0:54:00,0.007276344
1/1/2007,0:55:00,0.007797542
1/1/2007,0:56:00,0.007923328
1/1/2007,0:57:00,0.007659007
1/1/2007,0:58:00,0.008145673
1/1/2007,0:59:00,0.007800963
1/1/2007,1:00:00,0.008140409
1/1/2007,1:01:00,0.008220211
1/1/2007,1:02:00,0.008514747
1/1/2007,1:03:00,0.008491661
1/1/2007,1:04:00,0.008277304
1/1/2007,1:05:00,0.008487206
1/1/2007,1:06:00,0.007912345
1/1/2007,1:07:00,0.007697013
1/1/2007,1:08:00,0.007936413
1/1/2007,1:09:00,0.007600559
1/1/2007,1:10:00,0.007666615
1/1/2007,1:11:00,0.008145375
1/1/2007,1:12:00,0.008456299
1/1/2007,1:13:00,0.007565267
1/1/2007,1:14:00,0.007838542
1/1/2007,1:15:00,0.00752809
1/1/2007,1:16:00,0.007873483
1/1/2007,1:17:00,0.008018782
1/1/2007,1:18:00,0.007679356
1/1/2007,1:19:00,0.008068483
1/1/2007,1:20:00,0.00789544
1/1/2007,1:21:00,0.007981785
1/1/2007,1:22:00,0.008006111
1/1/2007,1:23:00,0.008409325
1/1/2007,1:24:00,0.008436135
1/1/2007,1:25:00,0.008396653
1/1/2007,1:26:00,0.00794531
1/1/2007,1:27:00,0.00812256
1/1/2007,1:28:00,0.007937489
1/1/2007,1:29:00,0.00738727
1/1/2007,1:30:00,0.007532237
1/1/2007,1:31:00,0.007990998
1/1/2007,1:32:00,0.00733097
1/1/2007,1:33:00,0.008095281
1/1/2007,1:34:00,0.008034768
1/1/2007,1:35:00,0.008057968
1/1/2007,1:36:00,0.008071021
1/1/2007,1:37:00,0.008144791
1/1/2007,1:38:00,0.007747619
1/1/2007,1:39:00,0.007884743
1/1/2007,1:40:00,0.008271334
1/1/2007,1:41:00,0.008292634
1/1/2007,1:42:00,0.007982487
1/1/2007,1:43:00,0.008253278
1/1/2007,1:44:00,0.007773215
1/1/2007,1:45:00,0.008358947
1/1/2007,1:46:00,0.007568109
1/1/2007,1:47:00,0.007753197
1/1/2007,1:48:00,0.008479367
1/1/2007,1:49:00,0.008309183
1/1/2007,1:50:00,0.008332966
1/1/2007,1:51:00,0.008477007
1/1/2007,1:52:00,0.008060631
1/1/2007,1:53:00,0.007980713
1/1/2007,1:54:00,0.007685506
1/1/2007,1:55:00,0.007952299
1/1/2007,1:56:00,0.00738925
1/1/2007,1:57:00,0.007421758
1/1/2007,1:58:00,0.007616215
1/1/2007,1:59:00,0.007572733
1/1/2007,2:00:00,0.007451547
1/1/2007,2:01:00,0.008385423
1/1/2007,2:02:00,0.008300865
1/1/2007,2:03:00,0.007830176
1/1/2007,2:04:00,0.00811194
1/1/2007,2:05:00,0.008105432
1/1/2007,2:06:00,0.008218085
1/1/2007,2:07:00,0.008100639
1/1/2007,2:08:00,0.007961501
1/1/2007,2:09:00,0.007620731
1/1/2007,2:10:00,0.007455745
1/1/2007,2:11:00,0.007770088
1/1/2007,2:12:00,0.008004201
1/1/2007,2:13:00,0.007839621
1/1/2007,2:14:00,0.007532932
1/1/2007,2:15:00,0.007554524
1/1/2007,2:16:00,0.008337838
1/1/2007,2:17:00,0.008526755
1/1/2007,2:18:00,0.007981132
1/1/2007,2:19:00,0.007889505
1/1/2007,2:20:00,0.008321213
1/1/2007,2:21:00,0.008558844
1/1/2007,2:22:00,0.008715355
1/1/2007,2:23:00,0.008426419
1/1/2007,2:24:00,0.007916575
1/1/2007,2:25:00,0.008136074
1/1/2007,2:26:00,0.008600976
1/1/2007,2:27:00,0.008543897
1/1/2007,2:28:00,0.008344976
1/1/2007,2:29:00,0.008291069
1/1/2007,2:30:00,0.007944461
1/1/2007,2:31:00,0.0079119
1/1/2007,2:32:00,0.007657162
1/1/2007,2:33:00,0.007593445
1/1/2007,2:34:00,0.007846458
1/1/2007,2:35:00,0.008303414
1/1/2007,2:36:00,0.008321783
1/1/2007,2:37:00,0.008163525
1/1/2007,2:38:00,0.008162079
1/1/2007,2:39:00,0.008070743
1/1/2007,2:40:00,0.008064432
1/1/2007,2:41:00,0.008468868
1/1/2007,2:42:00,0.008060032
1/1/2007,2:43:00,0.007716556
1/1/2007,2:44:00,0.00801043
1/1/2007,2:45:00,0.008392982
1/1/2007,2:46:00,0.008486157
1/1/2007,2:47:00,0.007944487
1/1/2007,2:48:00,0.008693482
1/1/2007,2:49:00,0.007889541
1/1/2007,2:50:00,0.008008416
1/1/2007,2:51:00,0.007729074
1/1/2007,2:52:00,0.008517146
1/1/2007,2:53:00,0.008751189
1/1/2007,2:54:00,0.008890875
1/1/2007,2:55:00,0.008487148
1/1/2007,2:56:00,0.008701519
1/1/2007,2:57:00,0.00874355
1/1/2007,2:58:00,0.008773096
1/1/2007,2:59:00,0.008193675
1/1/2007,3:00:00,0.008471269
1/1/2007,3:01:00,0.008017743
1/1/2007,3:02:00,0.008897365
1/1/2007,3:03:00,0.008542095
1/1/2007,3:04:00,0.008604682
1/1/2007,3:05:00,0.008606277
1/1/2007,3:06:00,0.008324823
1/1/2007,3:07:00,0.008025568
1/1/2007,3:08:00,0.007975266
1/1/2007,3:09:00,0.008469947
1/1/2007,3:10:00,0.008347541
1/1/2007,3:11:00,0.007632246
1/1/2007,3:12:00,0.007977226
1/1/2007,3:13:00,0.008205379
1/1/2007,3:14:00,0.007856056
1/1/2007,3:15:00,0.007422983
1/1/2007,3:16:00,0.007689655
